Initial total balance: 5000.00
Teller 1: Transaction 0 on Account 2, Amount 23.00
Teller 1: Transaction 1 on Account 4, Amount 94.00
Teller 1: Transaction 2 on Account 3, Amount 96.00
Teller 1: Transaction 3 on Account 0, Amount 63.00
Teller 1: Transaction 4 on Account 2, Amount 92.00
Teller 1: Transaction 5 on Account 2, Amount 38.00
Teller 1: Transaction 6 on Account 4, Amount -97.00
Teller 1: Transaction 7 on Account 1, Amount -81.00
Teller 1: Transaction 8 on Account 3, Amount 75.00
Teller 0: Transaction 0 on Account 4, Amount -62.00
Teller 0: Transaction 1 on Account 4, Amount -63.00
Teller 0: Transaction 2 on Account 2, Amount 95.00
Teller 0: Transaction 3 on Account 0, Amount -68.00
Teller 0: Transaction 4 on Account 1, Amount -7.00
Teller 0: Transaction 5 on Account 0, Amount -48.00
Teller 2: Transaction 0 on Account 3, Amount -94.00
Teller 1: Transaction 9 on Account 1, Amount -47.00
Teller 2: Transaction 1 on Account 3, Amount -60.00
Teller 2: Transaction 2 on Account 0, Amount -34.00
Teller 0: Transaction 6 on Account 4, Amount 33.00
Teller 1: Transaction 10 on Account 4, Amount 42.00
Teller 0: Transaction 7 on Account 3, Amount -94.00
Teller 0: Transaction 8 on Account 4, Amount 99.00
Teller 0: Transaction 9 on Account 4, Amount -64.00
Teller 0: Transaction 10 on Account 0, Amount -7.00
Teller 0: Transaction 11 on Account 2, Amount 85.00
Teller 0: Transaction 12 on Account 0, Amount -68.00
Teller 1: Transaction 11 on Account 1, Amount -65.00
Teller 1: Transaction 12 on Account 3, Amount -100.00
Teller 2: Transaction 3 on Account 0, Amount -48.00
Teller 2: Transaction 4 on Account 3, Amount -61.00
Teller 2: Transaction 5 on Account 3, Amount -30.00
Teller 2: Transaction 6 on Account 2, Amount -56.00
Teller 2: Transaction 7 on Account 3, Amount -5.00
Teller 2: Transaction 8 on Account 0, Amount 81.00
Teller 1: Transaction 13 on Account 3, Amount -84.00
Teller 1: Transaction 14 on Account 3, Amount -18.00
Teller 1: Transaction 15 on Account 3, Amount 74.00
Teller 3: Transaction 0 on Account 3, Amount 12.00
Teller 3: Transaction 1 on Account 3, Amount -35.00
Teller 3: Transaction 2 on Account 3, Amount 27.00
Teller 3: Transaction 3 on Account 0, Amount -99.00
Teller 1: Transaction 16 on Account 1, Amount -75.00
Teller 1: Transaction 17 on Account 0, Amount 28.00
Teller 1: Transaction 18 on Account 4, Amount 74.00
Teller 0: Transaction 13 on Account 0, Amount 38.00
Teller 2: Transaction 9 on Account 2, Amount -8.00
Teller 2: Transaction 10 on Account 3, Amount 52.00
Teller 2: Transaction 11 on Account 0, Amount -45.00
Teller 2: Transaction 12 on Account 3, Amount 20.00
Teller 3: Transaction 4 on Account 2, Amount 7.00
Teller 2: Transaction 13 on Account 3, Amount -74.00
Teller 3: Transaction 5 on Account 0, Amount 34.00
Teller 0: Transaction 14 on Account 3, Amount 75.00
Teller 3: Transaction 6 on Account 2, Amount -35.00
Teller 3: Transaction 7 on Account 0, Amount 49.00
Teller 2: Transaction 14 on Account 2, Amount -40.00
Teller 1: Transaction 19 on Account 4, Amount -10.00
Teller 0: Transaction 15 on Account 4, Amount 64.00
Teller 3: Transaction 8 on Account 0, Amount -95.00
Teller 3: Transaction 9 on Account 1, Amount 9.00
Teller 3: Transaction 10 on Account 4, Amount -78.00
Teller 1: Transaction 20 on Account 2, Amount -100.00
Teller 3: Transaction 11 on Account 3, Amount 66.00
Teller 2: Transaction 15 on Account 2, Amount -48.00
Teller 2: Transaction 16 on Account 4, Amount 60.00
Teller 2: Transaction 17 on Account 3, Amount -74.00
Teller 2: Transaction 18 on Account 1, Amount 62.00
Teller 2: Transaction 19 on Account 4, Amount -80.00
Teller 3: Transaction 12 on Account 0, Amount -12.00
Teller 1: Transaction 21 on Account 4, Amount -96.00
Teller 1: Transaction 22 on Account 4, Amount -37.00
Teller 0: Transaction 16 on Account 4, Amount 60.00
Teller 2: Transaction 20 on Account 4, Amount -71.00
Teller 0: Transaction 17 on Account 1, Amount 90.00
Teller 0: Transaction 18 on Account 2, Amount 99.00
Teller 2: Transaction 21 on Account 4, Amount -31.00
Teller 2: Transaction 22 on Account 2, Amount 98.00
Teller 1: Transaction 23 on Account 0, Amount -45.00
Teller 1: Transaction 24 on Account 1, Amount -51.00
Teller 1: Transaction 25 on Account 4, Amount -30.00
Teller 1: Transaction 26 on Account 2, Amount 36.00
Teller 1: Transaction 27 on Account 4, Amount -8.00
Teller 1: Transaction 28 on Account 0, Amount -75.00
Teller 1: Transaction 29 on Account 3, Amount 46.00
Teller 1: Transaction 30 on Account 3, Amount 64.00
Teller 1: Transaction 31 on Account 0, Amount -55.00
Teller 1: Transaction 32 on Account 3, Amount 29.00
Teller 1: Transaction 33 on Account 0, Amount -21.00
Teller 2: Transaction 23 on Account 4, Amount -42.00
Teller 2: Transaction 24 on Account 0, Amount 83.00
Teller 2: Transaction 25 on Account 0, Amount -22.00
Teller 2: Transaction 26 on Account 1, Amount -51.00
Teller 3: Transaction 13 on Account 0, Amount -86.00
Teller 1: Transaction 34 on Account 4, Amount -53.00
Teller 3: Transaction 14 on Account 4, Amount -11.00
Teller 1: Transaction 35 on Account 4, Amount 73.00
Teller 0: Transaction 19 on Account 1, Amount 38.00
Teller 1: Transaction 36 on Account 4, Amount 63.00
Teller 0: Transaction 20 on Account 3, Amount 74.00
Teller 3: Transaction 15 on Account 4, Amount -38.00
Teller 0: Transaction 21 on Account 4, Amount 21.00
Teller 0: Transaction 22 on Account 3, Amount -13.00
Teller 2: Transaction 27 on Account 3, Amount -18.00
Teller 1: Transaction 37 on Account 4, Amount 76.00
Teller 2: Transaction 28 on Account 3, Amount -90.00
Teller 3: Transaction 16 on Account 0, Amount -65.00
Teller 2: Transaction 29 on Account 4, Amount -89.00
Teller 0: Transaction 23 on Account 2, Amount -29.00
Teller 2: Transaction 30 on Account 0, Amount -78.00
Teller 2: Transaction 31 on Account 3, Amount -79.00
Teller 1: Transaction 38 on Account 0, Amount 2.00
Teller 2: Transaction 32 on Account 3, Amount -90.00
Teller 1: Transaction 39 on Account 1, Amount 44.00
Teller 2: Transaction 33 on Account 0, Amount -17.00
Teller 0: Transaction 24 on Account 3, Amount -6.00
Teller 3: Transaction 17 on Account 0, Amount 35.00
Teller 3: Transaction 18 on Account 1, Amount -92.00
Teller 1: Transaction 40 on Account 3, Amount -15.00
Teller 2: Transaction 34 on Account 3, Amount -86.00
Teller 1: Transaction 41 on Account 0, Amount -35.00
Teller 2: Transaction 35 on Account 1, Amount -10.00
Teller 3: Transaction 19 on Account 0, Amount 51.00
Teller 2: Transaction 36 on Account 3, Amount -14.00
Teller 0: Transaction 25 on Account 4, Amount 75.00
Teller 2: Transaction 37 on Account 3, Amount -24.00
Teller 3: Transaction 20 on Account 3, Amount -63.00
Teller 2: Transaction 38 on Account 3, Amount -84.00
Teller 3: Transaction 21 on Account 0, Amount 53.00
Teller 0: Transaction 26 on Account 2, Amount -98.00
Teller 3: Transaction 22 on Account 3, Amount 52.00
Teller 3: Transaction 23 on Account 1, Amount -58.00
Teller 1: Transaction 42 on Account 1, Amount -11.00
Teller 2: Transaction 39 on Account 4, Amount -48.00
Teller 0: Transaction 27 on Account 0, Amount -17.00
Teller 0: Transaction 28 on Account 1, Amount 99.00
Teller 1: Transaction 43 on Account 1, Amount 49.00
Teller 3: Transaction 24 on Account 2, Amount 17.00
Teller 2: Transaction 40 on Account 0, Amount -17.00
Teller 1: Transaction 44 on Account 2, Amount 15.00
Teller 1: Transaction 45 on Account 3, Amount 71.00
Teller 0: Transaction 29 on Account 4, Amount -83.00
Teller 3: Transaction 25 on Account 4, Amount 55.00
Teller 0: Transaction 30 on Account 2, Amount 13.00
Teller 2: Transaction 41 on Account 1, Amount 77.00
Teller 0: Transaction 31 on Account 4, Amount 88.00
Teller 1: Transaction 46 on Account 0, Amount -74.00
Teller 2: Transaction 42 on Account 3, Amount 100.00
Teller 2: Transaction 43 on Account 0, Amount -47.00
Teller 2: Transaction 44 on Account 2, Amount 74.00
Teller 2: Transaction 45 on Account 0, Amount 33.00
Teller 2: Transaction 46 on Account 1, Amount -47.00
Teller 0: Transaction 32 on Account 1, Amount -54.00
Teller 2: Transaction 47 on Account 4, Amount 53.00
Teller 3: Transaction 26 on Account 1, Amount 42.00
Teller 1: Transaction 47 on Account 0, Amount -37.00
Teller 0: Transaction 33 on Account 2, Amount -97.00
Teller 0: Transaction 34 on Account 1, Amount 20.00
Teller 0: Transaction 35 on Account 2, Amount -55.00
Teller 0: Transaction 36 on Account 4, Amount -60.00
Teller 3: Transaction 27 on Account 3, Amount 82.00
Teller 3: Transaction 28 on Account 2, Amount -95.00
Teller 3: Transaction 29 on Account 1, Amount 40.00
Teller 3: Transaction 30 on Account 2, Amount -87.00
Teller 3: Transaction 31 on Account 2, Amount -40.00
Teller 3: Transaction 32 on Account 3, Amount 11.00
Teller 2: Transaction 48 on Account 4, Amount 93.00
Teller 0: Transaction 37 on Account 1, Amount 76.00
Teller 2: Transaction 49 on Account 0, Amount -21.00
Teller 3: Transaction 33 on Account 3, Amount -83.00
Teller 3: Transaction 34 on Account 4, Amount 83.00
Teller 3: Transaction 35 on Account 4, Amount -42.00
Teller 3: Transaction 36 on Account 3, Amount -42.00
Teller 3: Transaction 37 on Account 1, Amount -5.00
Teller 3: Transaction 38 on Account 1, Amount -20.00
Teller 3: Transaction 39 on Account 2, Amount -68.00
Teller 3: Transaction 40 on Account 4, Amount -18.00
Teller 3: Transaction 41 on Account 3, Amount -31.00
Teller 3: Transaction 42 on Account 3, Amount -61.00
Teller 3: Transaction 43 on Account 1, Amount -24.00
Teller 3: Transaction 44 on Account 0, Amount -17.00
Teller 3: Transaction 45 on Account 4, Amount -27.00
Teller 3: Transaction 46 on Account 0, Amount 41.00
Teller 3: Transaction 47 on Account 2, Amount 92.00
Teller 3: Transaction 48 on Account 4, Amount -16.00
Teller 3: Transaction 49 on Account 3, Amount 7.00
Teller 3: Transaction 50 on Account 3, Amount -25.00
Teller 0: Transaction 38 on Account 3, Amount -62.00
Teller 3: Transaction 51 on Account 4, Amount 60.00
Teller 0: Transaction 39 on Account 4, Amount 45.00
Teller 3: Transaction 52 on Account 4, Amount -20.00
Teller 0: Transaction 40 on Account 0, Amount -33.00
Teller 2: Transaction 50 on Account 1, Amount 63.00
Teller 1: Transaction 48 on Account 1, Amount 19.00
Teller 3: Transaction 53 on Account 3, Amount -75.00
Teller 1: Transaction 49 on Account 2, Amount 83.00
Teller 2: Transaction 51 on Account 1, Amount -49.00
Teller 1: Transaction 50 on Account 1, Amount 90.00
Teller 0: Transaction 41 on Account 3, Amount -56.00
Teller 3: Transaction 54 on Account 2, Amount -78.00
Teller 0: Transaction 42 on Account 2, Amount 18.00
Teller 3: Transaction 55 on Account 3, Amount -17.00
Teller 2: Transaction 52 on Account 1, Amount 98.00
Teller 3: Transaction 56 on Account 0, Amount 42.00
Teller 0: Transaction 43 on Account 3, Amount -24.00
Teller 3: Transaction 57 on Account 1, Amount 28.00
Teller 3: Transaction 58 on Account 4, Amount 72.00
Teller 0: Transaction 44 on Account 1, Amount -3.00
Teller 2: Transaction 53 on Account 2, Amount -86.00
Teller 0: Transaction 45 on Account 4, Amount -89.00
Teller 0: Transaction 46 on Account 2, Amount 11.00
Teller 0: Transaction 47 on Account 3, Amount -58.00
Teller 2: Transaction 54 on Account 2, Amount -78.00
Teller 1: Transaction 51 on Account 3, Amount 2.00
Teller 2: Transaction 55 on Account 0, Amount 35.00
Teller 1: Transaction 52 on Account 0, Amount -25.00
Teller 3: Transaction 59 on Account 3, Amount 67.00
Teller 0: Transaction 48 on Account 2, Amount -45.00
Teller 3: Transaction 60 on Account 3, Amount -36.00
Teller 2: Transaction 56 on Account 2, Amount -65.00
Teller 3: Transaction 61 on Account 2, Amount 97.00
Teller 3: Transaction 62 on Account 1, Amount 3.00
Teller 2: Transaction 57 on Account 1, Amount 38.00
Teller 1: Transaction 53 on Account 3, Amount 54.00
Teller 1: Transaction 54 on Account 2, Amount -77.00
Teller 0: Transaction 49 on Account 4, Amount 96.00
